,name,source,skill,language,equipment,tool,feature
0,Acolyte,PHB,"insight, religion.
","Any Standard Language: 2.
","{holy symbol|phb}. {5* sticks of incense}. {vestments}. {common clothes|phb}. {pouch|phb with 15.0gp}. 
-------------
Choose from:
a:{book|phb}. 
b:{prayer wheel}. 
-------------
",,"Feature: Shelter of the Faithful
-------------
As an acolyte, you command the respect of those who share your faith, and you can perform the religious ceremonies of your deity. You and your adventuring companions can expect to receive free healing and care at a temple, shrine, or other established presence of your faith, though you must provide any material components needed for spells. Those who share your religion will support you (but only you) at a modest lifestyle.
-------------
You might also have ties to a specific temple dedicated to your chosen deity or pantheon, and you have a residence there. This could be the temple where you used to serve, if you remain on good terms with it, or a temple where you have found a new home. While near your temple, you can call upon the priests for assistance, provided the assistance you ask for is not hazardous and you remain in good standing with your temple.
-------------
"
1,Charlatan,PHB,"deception, sleight of hand.
",,"{fine clothes|phb}. {disguise kit|phb}. {pouch|phb with 15.0gp}. 
-------------
Choose from:
a:{10* stoppered bottles filled with colored liquid}. 
b:{set of weighted dice}. 
c:{deck of marked cards}. 
d:{signet ring of an imaginary duke}. 
-------------
","{@item Disguise kit}, {@item Forgery kit}
-------------
","Feature: False Identity
-------------
You have created a second identity that includes documentation, established acquaintances, and disguises that allow you to assume that persona. Additionally, you can forge documents including official papers and personal letters, as long as you have seen an example of the kind of document or the handwriting you are trying to copy.
-------------
"
2,City Watch,SCAG,"athletics, insight.
","Any Standard Language: 2.
","{uniform in the style of your unit and indicative of your rank}. {horn|phb}. {manacles|phb}. {pouch|phb with 10.0gp}. 
-------------
",,"Feature: Watcher's Eye
-------------
Your experience in enforcing the law, and dealing with lawbreakers, gives you a feel for local laws and criminals. You can easily find the local outpost of the watch or a similar organization, and just as easily pick out the dens of criminal activity in a community, although you're more likely to be welcome in the former locations rather than the latter.
-------------
"
3,Clan Crafter,SCAG,"history, insight.
","dwarvish. Any Standard Language: 1.
","{'equipmentType': 'toolArtisan'}. {maker's mark chisel used to mark your handiwork with the symbol of the clan of crafters you learned your skill from}. {traveler's clothes|phb}. {pouch|phb with 15.0gp}. 
-------------
","One type of {@filter artisan's tools}
-------------
","Feature: Respect of the Stout Folk
-------------
As well respected as clan crafters are among outsiders, no one esteems them quite so highly as dwarves do. You always have free room and board in any place where shield dwarves or gold dwarves dwell, and the individuals in such a settlement might vie among themselves to determine who can offer you (and possibly your companions) the finest accommodations and assistance.
-------------
"
4,Cloistered Scholar,SCAG,"history.
Choose from: [arcana,nature,religion]","Any Standard Language: 2.
","{robes|phb}. {pouch|phb}. {quill}. {ink}. {folded parchment}. {small penknife}. {book|phb}. {pouch|phb with 10.0gp}. 
-------------
",,"Feature: Library Access
-------------
Though others must often endure extensive interviews and significant fees to gain access to even the most common archives in your library, you have free and easy access to the majority of the library, though it might also have repositories of lore that are too valuable, magical, or secret to permit anyone immediate access.
-------------
You have a working knowledge of your cloister's personnel and bureaucracy, and you know how to navigate those connections with some ease.
-------------
Additionally, you are likely to gain preferential treatment at other libraries across the Realms, as professional courtesy to a fellow scholar.
-------------
"
5,Courtier,SCAG,"insight, persuasion.
","Any Standard Language: 2.
","{fine clothes|phb}. {pouch|phb with 5.0gp}. 
-------------
",,"Feature: Court Functionary
-------------
Your knowledge of how bureaucracies function lets you gain access to the records and inner workings of any noble court or government you encounter. You know who the movers and shakers are, whom to go to for the favors you seek, and what the current intrigues of interest in the group are.
-------------
"
6,Criminal,PHB,"deception, stealth.
",,"{crowbar|phb}. {common clothes|phb}. {pouch|phb with 15.0gp}. 
-------------
","One type of {@filter gaming set}, {@item thieves' tools}
-------------
","Feature: Criminal Contact
-------------
You have a reliable and trustworthy contact who acts as your liaison to a network of other criminals. You know how to get messages to and from your contact, even over great distances; specifically, you know the local messengers, corrupt caravan masters, and seedy sailors who can deliver messages for you.
-------------
"
7,Entertainer,PHB,"acrobatics, performance.
",,"{'equipmentType': 'instrumentMusical'}. {the favor of an admirer (love letter, lock of hair, or trinket)}. {costume clothes|phb}. {pouch|phb with 15.0gp}. 
-------------
","{@item Disguise kit}, one type of {@filter musical instrument}
-------------
","Feature: By Popular Demand
-------------
You can always find a place to perform, usually in an inn or tavern but possibly with a circus, at a theater, or even in a noble's court. At such a place, you receive free lodging and food of a modest or comfortable standard (depending on the quality of the establishment), as long as you perform each night. In addition, your performance makes you something of a local figure. When strangers recognize you in a town where you have performed, they typically take a liking to you.
-------------
"
8,Faction Agent,SCAG,"insight.
Choose from: [arcana,animal handling,deception,history,intimidation,investigation,medicine,nature,perception,performance,persuasion,religion,survival]","Any Standard Language: 2.
","{Badge or emblem of your faction}. {copy of a seminal faction text (or code-book for a covert faction)}. {common clothes|phb}. {pouch|phb with 15.0gp}. 
-------------
",,"Feature: Safe Haven
-------------
As a faction agent, you have access to a secret network of supporters and operatives who can provide assistance on your adventures. You know a set of secret signs and passwords you can use to identify such operatives, who can provide you with access to a hidden safe house, free room and board, or assistance in finding information. These agents never risk their lives for you or risk revealing their true identities.
-------------
"
9,Far Traveler,SCAG,"insight, perception.
","Any Standard Language: 1.
","{traveler's clothes|phb}. {poorly wrought maps from your homeland that depict where you are in Faerûn}. {small piece of jewelry in the style of your homeland's craftsmanship}. {pouch|phb with 5.0gp}. 
-------------
Choose from:
a:{}. 
b:{}. 
-------------
","Any one {@filter musical instrument} or {@filter gaming set} of your choice, likely something native to your homeland
-------------
","Feature: All Eyes on You
-------------
Your accent, mannerisms, figures of speech, and perhaps even your appearance all mark you as foreign. Curious glances are directed your way wherever you go, which can be a nuisance, but you also gain the friendly interest of scholars and others intrigued by far-off lands, to say nothing of everyday folk who are eager to hear stories of your homeland.
-------------
You can parley this attention into access to people and places you might not otherwise have, for you and your traveling companions. Noble lords, scholars, and merchant princes, to name a few, might be interested in hearing about your distant homeland and people.
-------------
"
10,Folk Hero,PHB,"animal handling, survival.
",,"{'equipmentType': 'toolArtisan'}. {shovel|phb}. {iron pot|phb}. {common clothes|phb}. {pouch|phb with 10.0gp}. 
-------------
","One type of {@filter artisan's tools}, {@filter vehicles (land)}
-------------
","Feature: Rustic Hospitality
-------------
Since you come from the ranks of the common folk, you fit in among them with ease. You can find a place to hide, rest, or recuperate among other commoners, unless you have shown yourself to be a danger to them. They will shield you from the law or anyone else searching for you, though they will not risk their lives for you.
-------------
"
11,Grinner,EGW,"deception, performance.
",,"{fine clothes|phb}. {disguise kit|phb}. {'equipmentType': 'instrumentMusical'}. {gold-plated ring depicting a smiling face}. {pouch|phb with 15.0gp}. 
-------------
","One type of {@filter musical instrument}, {@item thieves' tools}
-------------
","Feature: Ballad of the Grinning Fool
-------------
Like every Grinner, you know how to find a hideout. In any city of 10,000 people or more on the Menagerie Coast or in the lands of the Dwendalian Empire, you can play the ""Ballad of the Grinning Fool"" in a major tavern or inn. A member of the Golden Grin will find you and give shelter to you and any companions you vouch for. This shelter might be discontinued if it becomes too dangerous to hide you, at the DM's discretion.
-------------
This feature must be used with caution, for not all who know the ballad are your friends. Some are traitors, counterspies, or agents of tyranny.
-------------
"
12,Guild Artisan,PHB,"insight, persuasion.
","Any Standard Language: 1.
","{'equipmentType': 'toolArtisan'}. {letter of introduction from your guild}. {traveler's clothes|phb}. {pouch|phb with 15.0gp}. 
-------------
","One type of {@filter artisan's tools}
-------------
","Feature: Guild Membership
-------------
As an established and respected member of a guild, you can rely on certain benefits that membership provides. Your fellow guild members will provide you with lodging and food if necessary, and pay for your funeral if needed. In some cities and towns, a guildhall offers a central place to meet other members of your profession, which can be a good place to meet potential patrons, allies, or hirelings.
-------------
Guilds often wield tremendous political power. If you are accused of a crime, your guild will support you if a good case can be made for your innocence or the crime is justifiable. You can also gain access to powerful political figures through the guild, if you are a member in good standing. Such connections might require the donation of money or magic items to the guild's coffers.
-------------
You must pay dues of 5 gp per month to the guild. If you miss payments, you must make up back dues to remain in the guild's good graces.
-------------
"
13,Haunted One,VRGR,"
Choose 2 from: [arcana,investigation,religion,survival]","Any Standard Language: 1.
Choose 2 from: [arcana,investigation,religion,survival].
","{monster hunter's pack|vrgr}. {common clothes|phb}. {Horror Trinket|VRGR}. {'value': 10}. 
-------------
",,"Feature: Heart of Darkness
-------------
Those who look into your eyes can see that you have faced unimaginable horror and that you are no stranger to darkness. Though they might fear you, commoners will extend you every courtesy and do their utmost to help you. Unless you have shown yourself to be a danger to them, they will even take up arms to fight alongside you, should you find yourself facing an enemy alone.
-------------
"
