className,subclassShortName,source,level,name,description
Paladin,,PHB,1,Divine Sense,"The presence of strong evil registers on your senses like a noxious odor, and powerful good rings like heavenly music in your ears. As an action, you can open your awareness to detect such forces. Until the end of your next turn, you know the location of any celestial, fiend, or undead within 60 feet of you that is not behind total cover. You know the type (celestial, fiend, or undead) of any being whose presence you sense, but not its identity (the vampire Count Strahd von Zarovich, for instance). Within the same radius, you also detect the presence of any place or object that has been consecrated or desecrated, as with the {@spell hallow} spell.
-------------
You can use this feature a number of times equal to 1 + your Charisma modifier. When you finish a long rest, you regain all expended uses.
-------------
 "
Paladin,,PHB,1,Lay on Hands,"Your blessed touch can heal wounds. You have a pool of healing power that replenishes when you take a long rest. With that pool, you can restore a total number of hit points equal to your paladin levels.
-------------
As an action, you can touch a creature and draw power from the pool to restore a number of hit points to that creature, up to the maximum amount remaining in your pool.
-------------
Alternatively, you can expend 5 hit points from your pool of healing to cure the target of one disease or neutralize one poison affecting it. You can cure multiple diseases and neutralize multiple poisons with a single use of Lay on Hands, expending hit points separately for each one.
-------------
This feature has no effect on undead and constructs.
-------------
 "
Paladin,,PHB,2,Divine Smite,"Starting at 2nd level, when you hit a creature with a melee weapon attack, you can expend one spell slot to deal radiant damage to the target, in addition to the weapon's damage. The extra damage is {@dice 2d8} for a 1st-level spell slot, plus {@dice 1d8} for each spell level higher than 1st, to a maximum of {@dice 5d8}. The damage increases by {@dice 1d8} if the target is an undead or a fiend, to a maximum of {@dice 6d8}.
-------------
 "
Paladin,,PHB,2,Fighting Style,"At 2nd level, you adopt a particular style of fighting as your specialty. Choose one of the following options. You can't take the same Fighting Style option more than once, even if you get to choose again.
-------------
 "
Paladin,,PHB,2,Fighting Style,"Close Quarters Shooter|UALightDarkUnderdark
-------------
Defense
-------------
Dueling
-------------
Great Weapon Fighting
-------------
Mariner|UAWaterborneAdventures
-------------
Protection
-------------
Tunnel Fighter|UALightDarkUnderdark
-------------
Blind Fighting|UAClassFeatureVariants
-------------
Interception|UAClassFeatureVariants
-------------
Thrown Weapon Fighting|UAClassFeatureVariants
-------------
Unarmed Fighting|UAClassFeatureVariants
-------------
Blessed Warrior|UAClassFeatureVariants
-------------
Blessed Warrior|TCE
-------------
Blind Fighting|TCE
-------------
Interception|TCE "
Paladin,,PHB,2,Preparing and Casting Spells,"The Paladin table shows how many spell slots you have to cast your {@filter paladin spells}. To cast one of your paladin spells of 1st level or higher, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.
-------------
You prepare the list of paladin spells that are available for you to cast, choosing from the paladin spell list. When you do so, choose a number of paladin spells equal to your Charisma modifier + half your paladin level, rounded down (minimum of one spell). The spells must be of a level for which you have spell slots.
-------------
For example, if you are a 5th-level paladin, you have four 1st-level and two 2nd-level spell slots. With a Charisma of 14, your list of prepared spells can include four spells of 1st or 2nd-level, in any combination. If you prepare the 1st-level spell {@spell cure wounds}, you can cast it using a 1st-level or a 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells.
-------------
You can change your list of prepared spells when you finish a long rest. Preparing a new list of paladin spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list.
-------------
 "
Paladin,,PHB,2,Spell,abilityDc cha 
Paladin,,PHB,2,Spell,abilityAttackMod cha 
Paladin,,PHB,2,Spellcasting Ability,"Charisma is your spellcasting ability for your paladin spells, since their power derives from the strength of your convictions. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a paladin spell you cast and when making an attack roll with one.
-------------
 "
Paladin,,PHB,2,Spellcasting Focus,"You can use a {@item holy symbol} as a spellcasting focus for your paladin spells.
-------------
 "
Paladin,,PHB,2,Spellcasting,"By 2nd level, you have learned to draw on divine magic through meditation and prayer to cast spells as a cleric does. See {@book chapter 10} for the general rules of spellcasting and {@book chapter 11} for the {@filter paladin spell list}.
-------------
 "
Paladin,,PHB,3,Channel Divinity,"Your oath allows you to channel divine energy to fuel magical effects. Each Channel Divinity option provided by your oath explains how to use it.
-------------
When you use your Channel Divinity, you choose which option to use. You must then finish a short or long rest to use your Channel Divinity again.
-------------
Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your paladin spell save DC.
-------------
 "
Paladin,,TCE,3,Channel Divinity: Harness Divine Power,"{@i 3rd-level paladin {@variantrule optional class features}}
-------------
You can expend a use of your Channel Divinity to fuel your spells. As a bonus action, you touch your holy symbol, utter a prayer, and regain one expended spell slot, the level of which can be no higher than half your proficiency bonus (rounded up). The number of times you can use this feature is based on the level you've reached in this class: 3rd level, once; 7th level, twice; and 15th level, thrice. You regain all expended uses when you finish a long rest.
-------------
 "
Paladin,,PHB,3,Divine Health,"By 3rd level, the divine magic flowing through you makes you immune to disease.
-------------
 "
Paladin,,PHB,3,Oath Spells,"Each oath has a list of associated spells. You gain access to these spells at the levels specified in the oath description. Once you gain access to an oath spell, you always have it prepared. Oath spells don't count against the number of spells you can prepare each day.
-------------
If you gain an oath spell that doesn't appear on the paladin spell list, the spell is nonetheless a paladin spell for you.
-------------
 "
Paladin,,PHB,3,Breaking Your Oath,"A paladin tries to hold to the highest standards of conduct, but even the most virtuous paladin is fallible. Sometimes the right path proves too demanding, sometimes a situation calls for the lesser of two evils, and sometimes the heat of emotion causes a paladin to transgress his or her oath.
-------------
A paladin who has broken a vow typically seeks absolution from a cleric who shares his or her faith or from another paladin of the same order. The paladin might spend an all-night vigil in prayer as a sign of penitence, or undertake a fast or similar act of self-denial. After a rite of confession and forgiveness, the paladin starts fresh.
-------------
If a paladin willfully violates his or her oath and shows no sign of repentance, the consequences can be more serious. At the DM's discretion, an impenitent paladin might be forced to abandon this class and adopt another, or perhaps to take the Oathbreaker paladin option that appears in the Dungeon Master's Guide.
-------------
 "
Paladin,,PHB,3,Sacred Oath,"When you reach 3rd level, you swear the oath that binds you as a paladin forever. Up to this time you have been in a preparatory stage, committed to the path but not yet sworn to it. Now you choose from the list of available oaths.
-------------
Your choice grants you features at 3rd level and again at 7th, 15th, and 20th level. Those features include oath spells and the Channel Divinity feature.
-------------
 "
Paladin,,PHB,4,Ability Score Improvement,"When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
-------------
If your DM allows the use of feats, you may instead take a {@5etools feat}.
-------------
 "
Paladin,,TCE,4,Martial Versatility,"{@i 4th-level paladin {@variantrule optional class features}}
-------------
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a {@filter fighting style} you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
-------------
 "
Paladin,,PHB,5,Extra Attack,"Beginning at 5th level, you can attack twice, instead of once, whenever you take the {@action Attack} action on your turn.
-------------
 "
Paladin,,PHB,6,Aura of Protection,"Starting at 6th level, whenever you or a friendly creature within 10 feet of you must make a saving throw, the creature gains a bonus to the saving throw equal to your Charisma modifier (with a minimum bonus of +1). You must be conscious to grant this bonus.
-------------
At 18th level, the range of this aura increases to 30 feet.
-------------
 "
Paladin,,PHB,7,Sacred Oath feature,"At 7th level, you gain a feature granted to you by your Sacred Oath.
-------------
 "
Paladin,,PHB,8,Ability Score Improvement,"When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
-------------
If your DM allows the use of feats, you may instead take a {@5etools feat}.
-------------
 "
Paladin,,PHB,10,Aura of Courage,"Starting at 10th level, you and friendly creatures within 10 feet of you can't be {@condition frightened} while you are conscious.
-------------
At 18th level, the range of this aura increases to 30 feet.
-------------
 "
Paladin,,PHB,11,Improved Divine Smite,"By 11th level, you are so suffused with righteous might that all your melee weapon strikes carry divine power with them. Whenever you hit a creature with a melee weapon, the creature takes an extra {@damage 1d8} radiant damage.
-------------
 "
Paladin,,PHB,12,Ability Score Improvement,"When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
-------------
If your DM allows the use of feats, you may instead take a {@5etools feat}.
-------------
 "
Paladin,,PHB,14,Cleansing Touch,"Beginning at 14th level, you can use your action to end one spell on yourself or on one willing creature that you touch.
-------------
You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain expended uses when you finish a long rest.
-------------
 "
Paladin,,PHB,15,Sacred Oath feature,"At 15th level, you gain a feature granted to you by your Sacred Oath.
-------------
 "
Paladin,,PHB,16,Ability Score Improvement,"When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
-------------
If your DM allows the use of feats, you may instead take a {@5etools feat}.
-------------
 "
Paladin,,PHB,18,Aura improvements,"At 18th level, the range of your Aura of Protection increases to 30 feet.
-------------
 "
Paladin,,PHB,19,Ability Score Improvement,"When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
-------------
If your DM allows the use of feats, you may instead take a {@5etools feat}.
-------------
 "
Paladin,,PHB,20,Sacred Oath feature,"At 20th level, you gain a feature granted to you by your Sacred Oath.
-------------
 "
Paladin,Oathbreaker,DMG,3,Oathbreaker,"An Oathbreaker is a paladin who breaks his or her sacred oaths to pursue some dark ambition or serve an evil power. Whatever light burned in the paladin's heart has been extinguished. Only darkness remains.
-------------
A paladin must be evil and at least 3rd level to become an Oathbreaker. The paladin replaces the features specific to his or her Sacred Oath with Oathbreaker features.
-------------
 "
Paladin,Oathbreaker,DMG,3,Oathbreaker Channel Divinity: Control Undead,"As an action, the paladin targets one undead creature he or she can see within 30 feet of him or her. The target must make a Wisdom saving throw. On a failed save, the target must obey the paladin's commands for the next 24 hours, or until the paladin uses this Channel Divinity option again. An undead whose challenge rating is equal to or greater than the paladin's level is immune to this effect.
-------------
 "
Paladin,Oathbreaker,DMG,3,Oathbreaker Channel Divinity: Dreadful Aspect,"As an action, the paladin channels the darkest emotions and focuses them into a burst of magical menace. Each creature of the paladin's choice within 30 feet of the paladin must make a Wisdom saving throw if it can see the paladin. On a failed save, the target is {@condition frightened} of the paladin for 1 minute. If a creature {@condition frightened} by this effect ends its turn more than 30 feet away from the paladin, it can attempt another Wisdom saving throw to end the effect on it.
-------------
 "
Paladin,Oathbreaker,DMG,3,Oathbreaker Spells,"You gain oathbreaker spells at the paladin levels listed.
-------------
 "
Paladin,Oathbreaker,DMG,3,Oathbreaker Spells,"[['Paladin Level', 'Spells'], ['3rd', '{@spell hellish rebuke}, {@spell inflict wounds}'], ['5th', '{@spell crown of madness}, {@spell darkness}'], ['9th', '{@spell animate dead}, {@spell bestow curse}'], ['13th', '{@spell blight}, {@spell confusion}'], ['17th', '{@spell contagion}, {@spell dominate person}']] "
Paladin,Oathbreaker,DMG,7,Aura of Hate,"Starting at 7th level, the paladin, as well any fiends and undead within 10 feet of the paladin, gains a bonus to melee weapon damage rolls equal to the paladin's Charisma modifier (minimum of +1). A creature can benefit from this feature from only one paladin at a time.
-------------
At 18th level, the range of this aura increases to 30 feet.
-------------
 "
Paladin,Oathbreaker,DMG,15,Supernatural Resistance,"At 15th level, the paladin gains resistance to bludgeoning, piercing, and slashing damage from nonmagical weapons.
-------------
 "
