name,source,rarity,reqAttune,bonusSpellAttack,bonusSpellSaveDc,description
+1 All-Purpose Tool,TCE,uncommon,by an artificer,+1,+1," This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the {@book Player's Handbook} for a list of {@item artisan's tools}). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +1 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn. "
+1 Amulet of the Devout,TCE,uncommon,by a cleric or paladin,+1,+1," This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +1 bonus to spell attack rolls and the saving throw DCs of your spells. While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn. "
+1 Arcane Grimoire,TCE,uncommon,by a wizard,+1,+1," While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your wizard spells. You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1. "
+1 Bloodwell Vial,TCE,uncommon,by a sorcerer,+1,+1," To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells. In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn. "
+1 Dragonhide Belt,FTD,uncommon,by a monk,,," This finely detailed belt is made of dragonhide. While wearing it, you gain a +1 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn. "
+1 Moon Sickle,TCE,uncommon,by a druid or ranger,+1,+1," This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +1 bonus to attack and damage rolls made with it, and you gain a +1 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells. When you cast a spell that restores hit points, you can roll a {@dice d4} and add the number rolled to the amount of hit points restored, provided you are holding the sickle. "
+1 Rhythm-Maker's Drum,TCE,uncommon,by a bard,+1,+1," While holding this {@item drum}, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your bard spells. As an action, you can play the {@item drum} to regain one use of your Bardic Inspiration feature. This property of the {@item drum} can't be used again until the next dawn. "
+1 Rod of the Pact Keeper,DMG,uncommon,by a warlock,+1,+1," While holding this rod, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your warlock spells. In addition, you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest. "
+1 Wand of the War Mage,DMG,uncommon,by a spellcaster,+1,," While you are holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack. "
+2 All-Purpose Tool,TCE,rare,by an artificer,+2,+2," This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the {@book Player's Handbook} for a list of {@item artisan's tools}). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +2 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn. "
+2 Amulet of the Devout,TCE,rare,by a cleric or paladin,+2,+2," This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +2 bonus to spell attack rolls and the saving throw DCs of your spells. While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn. "
+2 Arcane Grimoire,TCE,rare,by a wizard,+2,+2," While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your wizard spells. You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1. "
+2 Bloodwell Vial,TCE,rare,by a sorcerer,+2,+2," To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells. In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn. "
+2 Dragonhide Belt,FTD,rare,by a monk,,," This finely detailed belt is made of dragonhide. While wearing it, you gain a +2 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn. "
